"price","speed","hd","ram","screen","cd","multi","premium","ads","trend","hd2","speed2","pred","Error"
1499,25,80,4,14,1,1,2,94,1,6400,625,1878.472800636,-379.472800636004
1795,33,85,2,14,1,1,2,94,1,7225,1089,1907.74372416315,-112.743724163145
1595,25,170,4,15,1,1,2,94,1,28900,625,2118.91575679952,-523.915756799519
1849,25,170,8,14,1,1,1,94,1,28900,625,2734.68615004058,-885.686150040581
3295,33,340,16,14,1,1,2,94,1,115600,1089,2902.88919827897,392.110801721035
3695,66,340,16,14,1,1,2,94,1,115600,4356,3254.49152321239,440.508476787614
1720,25,170,4,14,2,1,2,94,1,28900,625,2049.76904821532,-329.769048215324
1995,50,85,2,14,1,1,2,94,1,7225,2500,2113.8828103709,-118.882810370905
2225,50,210,8,14,1,1,2,94,1,44100,2500,2571.4972684382,-346.4972684382
2575,50,210,4,15,1,1,2,94,1,44100,2500,2494.89826953094,80.1017304690649
2195,33,170,8,15,1,1,2,94,1,28900,1089,2421.52237982994,-226.522379829937
2605,66,210,8,14,1,1,2,94,1,44100,4356,2716.96050716386,-111.960507163861
2045,50,130,4,14,1,1,2,94,1,16900,2500,2273.39013928127,-228.390139281273
2295,25,245,8,14,1,1,2,94,1,60025,625,2295.95828497233,-0.958284972329693
2699,50,212,8,14,1,1,2,94,1,44944,2500,2574.16699498417,124.833005015829
2225,50,130,4,14,1,1,2,94,1,16900,2500,2273.39013928127,-48.3901392812732
1595,33,85,2,14,1,1,2,94,1,7225,1089,1907.74372416315,-312.743724163145
2325,33,210,4,15,1,1,2,94,1,44100,1089,2288.75918332317,36.240816676825
2095,33,250,4,15,1,1,2,94,1,62500,1089,2341.20180688387,-246.201806883872
1695,33,130,4,14,1,1,2,94,1,16900,1089,2067.25105307351,-372.251053073513
2795,66,130,4,14,1,1,2,94,1,16900,4356,2418.85337800693,376.146621993065
2895,25,340,16,14,1,1,2,94,1,115600,625,2787.49241080803,107.507589191975
2875,50,210,4,17,1,1,2,94,1,44100,2500,2716.11994283536,158.880057164642
1290,33,80,2,14,1,1,2,94,1,6400,1089,1900.26467032721,-610.264670327205
1975,33,130,4,14,1,1,2,94,1,16900,1089,2067.25105307351,-92.251053073513
3995,33,452,8,14,1,1,2,94,1,204304,1089,2652.0222131127,1342.9777868873
3095,33,340,16,14,1,1,2,94,1,115600,1089,2902.88919827897,192.110801721035
3244,66,245,8,14,1,1,2,94,1,60025,4356,2762.95739737669,481.04260262331
1920,33,170,4,14,2,1,2,94,1,28900,1089,2165.16583568626,-245.165835686264
1995,25,130,4,14,1,1,2,94,1,16900,625,1951.85426560257,43.1457343974268
2595,33,210,8,17,1,1,2,94,1,44100,1089,2697.19069218708,-102.190692187076
2475,50,210,4,15,1,1,2,94,1,44100,2500,2494.89826953094,-19.8982695309351
1999,33,170,4,14,1,1,2,94,1,28900,1089,2123.70170761825,-124.701707618247
2675,66,210,4,15,1,1,2,94,1,44100,4356,2640.3615082566,34.6384917434038
2325,66,210,8,14,1,1,2,94,1,44100,4356,2716.96050716386,-391.960507163861
3795,66,500,8,14,1,1,2,94,1,250000,4356,3051.76605198786,743.233948012141
2405,50,210,8,14,1,1,2,94,1,44100,2500,2571.4972684382,-166.4972684382
2425,50,210,8,14,1,1,2,94,1,44100,2500,2571.4972684382,-146.4972684382
2895,50,245,8,14,1,1,2,94,1,60025,2500,2617.49415865103,277.50584134897
3895,66,500,8,15,1,1,2,94,1,250000,4356,3162.37688864007,732.623111359929
2499,33,212,8,14,1,1,2,94,1,44944,1089,2368.02790877641,130.972091223589
2255,33,210,8,14,1,1,2,94,1,44100,1089,2365.35818223044,-110.35818223044
3495,50,340,16,14,1,1,2,94,1,115600,2500,3109.02828448673,385.971715513275
2695,33,245,8,14,1,1,2,94,1,60025,1089,2411.35507244327,283.64492755673
2195,33,130,4,14,1,1,2,94,1,16900,1089,2067.25105307351,127.748946926487
1749,25,120,4,14,1,1,2,94,1,14400,625,1937.42847454576,-188.428474545761
2399,50,212,4,14,1,1,2,94,1,44944,2500,2386.95715942469,12.0428405753069
1995,33,250,4,14,1,1,2,94,1,62500,1089,2230.59097023166,-235.590970231659
2499,33,170,4,14,1,1,2,94,1,28900,1089,2123.70170761825,375.298292381753
2395,33,130,4,14,1,1,2,94,1,16900,1089,2067.25105307351,327.748946926487
